term,definition,category,source
Short-term Debt,"Borrowings repayable within one year, shown in current liabilities, such as loans, notes payable, and near term maturities.",Accounting,Public Disclosure
Sinking Fund,A fund used to retire debt or preferred shares gradually before maturity through scheduled purchases or payments.,Fixed Income,Public Disclosure
Speculator,"A participant accepting calculated risk for potentially higher returns, often focused on short to medium term gains.",Investor Types,Public Disclosure
Spread,"The difference between bid and ask, also the price difference targeted in certain options or commodity strategies.",Trading,Public Disclosure
Statement of Changes in Financial Position,"A statement explaining sources and uses of funds and changes in working capital over a period, linking successive balance sheets.",Financial Statements,Public Disclosure
Statement of Material Facts,"A disclosure document used in certain underwritings or secondary distributions when shares are exchange listed, replacing a prospectus in specific cases.",Disclosure,Public Disclosure
Stock Consolidation,"Combining existing shares into fewer shares, another term for reverse split.",Corporate Actions,Public Disclosure
Stock Dividend,A dividend paid in shares rather than cash.,Corporate Actions,Public Disclosure
Stock Exchange or Stock Market,An organized marketplace for trading stocks under defined rules and standards.,Markets,Public Disclosure
Stock Index,An indicator measuring value changes for a defined group of stocks.,Market Indicators,Public Disclosure
Stock Savings Plan,Provincial programs providing tax credits or deductions for investing in prescribed vehicles in certain provinces.,Taxation,Public Disclosure
Stock Split,Increasing shares outstanding by dividing existing shares into more shares without changing proportional ownership.,Corporate Actions,Public Disclosure
Stock Symbol,A short identifier used to represent a security on an exchange.,Market Data,Public Disclosure
Stop Limit Sell and Stop Limit Buy Orders,"Orders that activate when a stop price is reached, becoming limit orders, with execution not guaranteed if price moves past the limit.",Trading,Public Disclosure
Street Certificate or Street Name,"Holding securities through a dealer in nominee name rather than physical certificates, with payments credited to the client account.",Securities Operations,Public Disclosure
Strike Price,The price at which an option can be exercised to buy or sell the underlying security.,Derivatives,Public Disclosure
Strip Bonds or Zero Coupon Bonds,"Bonds created by separating coupons from principal so components trade at discounts, also called zero coupon structures.",Fixed Income,Public Disclosure
Stripped Debentures,Debentures separated from attached instruments such as warrants that were originally issued together.,Fixed Income,Public Disclosure
"Subject Bid, Subject Offer",A non binding indication of buying or selling interest that does not commit the participant to transact.,Trading,Public Disclosure
Subsidiary,"A company controlled by another, typically through majority ownership.",Corporate Structure,Public Disclosure
Surplus,"Shareholders’ equity components from sources other than retained earnings, and the broader concept of accumulated earnings retained.",Accounting,Public Disclosure
Surtax,"An additional tax applied on top of regular income tax, often temporary.",Taxation,Public Disclosure
Sweetener,"A feature added to a new issue to increase attractiveness, such as warrants or convertibility.",Capital Markets,Public Disclosure
Switching,"Selling one security and buying another, often to change exposure or improve expected return.",Investment Strategy,Public Disclosure
Syndicate,A group of dealers underwriting and distributing a new issue or large block of securities.,Capital Markets,Public Disclosure
Takeover Bid,An offer to buy voting securities that would bring ownership above a threshold requiring takeover bid rules.,Corporate Finance,Public Disclosure
Tax Bracket,An income range to which a specific marginal tax rate applies.,Taxation,Public Disclosure
Tax Credit,A reduction in taxes payable that generally applies equally per dollar of credit regardless of marginal rate.,Taxation,Public Disclosure
Tax Shelter,"An investment structure designed to provide tax savings such as deductions, credits, or deferral.",Taxation,Public Disclosure
T-Bill,A short term government treasury bill sold at a discount and maturing at par.,Money Markets,Public Disclosure
Technical Analysis,Analysis using price and volume patterns to infer investor behavior and potential future price action.,Technical Analysis,Public Disclosure
Term Deposit Receipt,"A bank deposit for a stated term and rate, often with penalties or lower rates for early withdrawal.",Retail Banking,Public Disclosure
Thin Market,A market with few bids or offers causing larger price moves between trades due to low liquidity.,Market Structure,Public Disclosure
Time Limit Order,An order that specifies the time window during which it can be executed.,Trading,Public Disclosure
Time Value or Extrinsic Value,"The portion of an option or right’s price above intrinsic value, reflecting time and volatility.",Derivatives,Public Disclosure
Timely Disclosure,An issuer’s obligation to promptly release material information to the public.,Disclosure,Public Disclosure
Trader,"A dealer employee executing orders, also a client who trades frequently seeking short term profits.",Trading,Public Disclosure
Trading Halt,A temporary suspension of trading to allow dissemination of material information.,Market Structure,Public Disclosure
Trading Units,"Standard par value units for OTC trading, varying by instrument type such as treasury bills or bonds.",Market Structure,Public Disclosure
Transaction Date,The date on which a purchase or sale occurs.,Settlement,Public Disclosure
Transfer Agent,An appointed entity maintaining shareholder records and often handling certificate transfers and dividend distributions.,Securities Operations,Public Disclosure
Treasury Bills,"Short term government debt sold at a discount and maturing at par, with gain treated as interest income.",Money Markets,Public Disclosure
Treasury Shares,"Authorized but unissued shares, or issued shares repurchased and held by the issuer.",Equity Markets,Public Disclosure
Trustee,"A party holding assets or overseeing bondholder protections under trust deed covenants, also a fiduciary holding assets for others.",Trusts,Public Disclosure
Underlying Securities,The securities that are bought or sold when an option is exercised.,Derivatives,Public Disclosure
Underwriting,"The purchase of a new issue by dealers for resale, governed by underwriting agreements.",Capital Markets,Public Disclosure
Unit,Two or more securities offered together at a single combined price.,Capital Markets,Public Disclosure
Unlisted,A security not listed on an exchange and typically traded OTC.,Markets,Public Disclosure
Venture Capital,Financing provided to fund new and higher risk business ventures.,Corporate Finance,Public Disclosure
Volatility,The degree of price variation of a security over time.,Market Data,Public Disclosure
Volume,The number of shares or contracts traded over a period.,Market Data,Public Disclosure
Voting Right,"The right to vote on corporate matters, often one vote per common share, with proxy voting possible.",Corporate Governance,Public Disclosure
Voting Trust,An arrangement where shareholders transfer voting rights to a trustee for a defined period to centralize control.,Corporate Governance,Public Disclosure
Warrant,A certificate giving the right to buy securities at a specified price within a specified time.,Corporate Actions,Public Disclosure
Working Capital,"Current assets minus current liabilities, indicating short term liquidity.",Financial Analysis,Public Disclosure
Working Capital Ratio,"Current assets divided by current liabilities, also called the current ratio.",Financial Analysis,Public Disclosure
Working Control,Effective control of a company that may be achieved with less than 50 percent ownership in practice.,Corporate Governance,Public Disclosure
Wrap Account,A discretionary managed account charging a single asset based fee instead of per trade commissions and charges.,Wealth Management,Public Disclosure
Yield,"Return expressed as a percentage, for stocks dividend yield, for bonds a rate based on interest and price relationships.",Investment Basics,Public Disclosure
Yield Curve,A graph showing yields for similar quality bonds across different maturities.,Fixed Income,Public Disclosure
Yield to Maturity,The total annualized return expected if a fixed income security is held to maturity.,Fixed Income,Public Disclosure
Zero Coupon Bonds,"Bonds that pay no periodic interest and trade at discounts to par, with return realized at maturity, also called strip bonds.",Fixed Income,Public Disclosure
